person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Gauger Clinton Gilbert,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Sunday, July 16, 1871",Cause of Death: Gunfire,Gunfire,1871-07-16,1871,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Sheriff Peter R. Lanahan,"Ellis County Sheriff's Office, KS","EOW: Tuesday, July 18, 1871",Cause of Death: Gunfire,Gunfire,1871-07-18,1871,FALSE,Ellis County Sheriff's Office, KS
Constable Jacob H. Baughman,"Greene County Sheriff's Department, MO","EOW: Friday, July 21, 1871",Cause of Death: Gunfire,Gunfire,1871-07-21,1871,FALSE,Greene County Sheriff's Department, MO
Private August Werner,"Texas State Police, TX","EOW: Monday, August 14, 1871",Cause of Death: Gunfire,Gunfire,1871-08-14,1871,FALSE,Texas State Police, TX
Customs Inspector Alden McLaughlin,"United States Department of the Treasury - Customs Service, US","EOW: Friday, September 1, 1871",Cause of Death: Gunfire,Gunfire,1871-09-01,1871,FALSE,United States Department of the Treasury - Customs Service, US
Detective John H. Richards,"Baltimore City Police Department, MD","EOW: Thursday, September 14, 1871",Cause of Death: Gunfire,Gunfire,1871-09-14,1871,FALSE,Baltimore City Police Department, MD
Sheriff James T. Dana,"Yuma County Sheriff's Department, AZ","EOW: Wednesday, September 20, 1871",Cause of Death: Assault,Assault,1871-09-20,1871,FALSE,Yuma County Sheriff's Department, AZ
Posse Member Mono Jim,"Mono County Sheriff's Office, CA","EOW: Saturday, September 23, 1871",Cause of Death: Gunfire,Gunfire,1871-09-23,1871,FALSE,Mono County Sheriff's Office, CA
Posse Member Robert Morrison,"Mono County Sheriff's Office, CA","EOW: Saturday, September 23, 1871",Cause of Death: Gunfire,Gunfire,1871-09-23,1871,FALSE,Mono County Sheriff's Office, CA
Deputy Sheriff Carlos B. King,"Sedgwick County Sheriff's Office, KS","EOW: Saturday, September 23, 1871",Cause of Death: Gunfire,Gunfire,1871-09-23,1871,FALSE,Sedgwick County Sheriff's Office, KS
Patrolman Isaac Jones,"Pittsburgh Police Department, PA","EOW: Saturday, September 23, 1871",Cause of Death: Assault,Assault,1871-09-23,1871,FALSE,Pittsburgh Police Department, PA
Constable Samuel T. Herrington,"Concord Township Police Department, MO","EOW: Wednesday, October 4, 1871",Cause of Death: Gunfire,Gunfire,1871-10-04,1871,FALSE,Concord Township Police Department, MO
Special Deputy Marshal Mike Williams,"Abilene Police Department, KS","EOW: Thursday, October 5, 1871",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1871-10-05,1871,FALSE,Abilene Police Department, KS
Special Police Officer Green Paramore,"Texas State Police, TX","EOW: Friday, October 6, 1871",Cause of Death: Gunfire,Gunfire,1871-10-06,1871,FALSE,Texas State Police, TX
Prison Guard F. M. Isaacs,"Nevada State Prison, NV","EOW: Friday, October 13, 1871",Cause of Death: Gunfire,Gunfire,1871-10-13,1871,FALSE,Nevada State Prison, NV
Patrolman John Wilson,"Portsmouth Police Department, VA","EOW: Saturday, November 11, 1871",Cause of Death: Gunfire,Gunfire,1871-11-11,1871,FALSE,Portsmouth Police Department, VA
Deputized Civilian David W. Harvell,"Nacogdoches County Constable's Office, TX","EOW: Thursday, December 14, 1871",Cause of Death: Gunfire,Gunfire,1871-12-14,1871,FALSE,Nacogdoches County Constable's Office, TX
Policeman Benjamin Cline,"Union City Police Department, TN","EOW: Monday, December 18, 1871",Cause of Death: Gunfire,Gunfire,1871-12-18,1871,FALSE,Union City Police Department, TN
Constable John Birdwell,"Nacogdoches County Constable's Office, TX","EOW: Tuesday, December 19, 1871",Cause of Death: Gunfire,Gunfire,1871-12-19,1871,FALSE,Nacogdoches County Constable's Office, TX
Constable Moses Ford,"Independence County Sheriff's Department, AR","EOW: Saturday, December 23, 1871",Cause of Death: Assault,Assault,1871-12-23,1871,FALSE,Independence County Sheriff's Department, AR
Officer Francis M. Doyle,"Metropolitan Police Department, DC","EOW: Friday, December 29, 1871",Cause of Death: Gunfire,Gunfire,1871-12-29,1871,FALSE,Metropolitan Police Department, DC
Sheriff Juan C. Tafoya,"Las Animas County Sheriff's Office, CO","EOW: Tuesday, February 6, 1872",Cause of Death: Gunfire,Gunfire,1872-02-06,1872,FALSE,Las Animas County Sheriff's Office, CO
Deputy U.S. Marshal John Zeke,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, February 16, 1872",Cause of Death: Gunfire,Gunfire,1872-02-16,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal William T. Bentz,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, February 22, 1872",Cause of Death: Gunfire,Gunfire,1872-02-22,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Police Officer Mansel W. Rasbury,"Atlanta Police Department, GA","EOW: Thursday, March 7, 1872",Cause of Death: Gunfire,Gunfire,1872-03-07,1872,FALSE,Atlanta Police Department, GA
Detective Phillip Lambreck,"New York Metropolitan Police Force, NY","EOW: Thursday, March 14, 1872",Cause of Death: Assault,Assault,1872-03-14,1872,FALSE,New York Metropolitan Police Force, NY
Keeper Samuel Calvert,"New York State Department of Correctional Services, NY","EOW: Sunday, March 17, 1872",Cause of Death: Stabbed,Stabbed,1872-03-17,1872,FALSE,New York State Department of Correctional Services, NY
Sheriff James B. Rogers,"Freestone County Sheriff's Office, TX","EOW: Saturday, April 13, 1872",Cause of Death: Gunfire,Gunfire,1872-04-13,1872,FALSE,Freestone County Sheriff's Office, TX
Special Deputy Marshal William Hicks,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 15, 1872",Cause of Death: Gunfire,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Sam Beck,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 15, 1872",Cause of Death: Gunfire,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Blacksut Beck,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 15, 1872",Cause of Death: Gunfire,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Posseman George Selvidge,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 15, 1872",Cause of Death: Gunfire,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Jim Ward,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 15, 1872",Cause of Death: Gunfire,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Riley Woods,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, April 15, 1872",Cause of Death: Gunfire,Gunfire,1872-04-15,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Jacob G. Owens,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, April 16, 1872",Cause of Death: Gunfire,Gunfire,1872-04-16,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Posseman William Beck,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, April 16, 1872",Cause of Death: Gunfire,Gunfire,1872-04-16,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Private John Americas Stewart,"Texas State Police, TX","EOW: Thursday, May 16, 1872",Cause of Death: Gunfire,Gunfire,1872-05-16,1872,FALSE,Texas State Police, TX
Deputy U.S. Marshal Maddison F. Mitchell,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, June 18, 1872",Cause of Death: Gunfire,Gunfire,1872-06-18,1872,FALSE,United States Department of Justice - United States Marshals Service, US
City Marshal C. M. Taylor,"Baxter Springs Police Department, KS","EOW: Saturday, June 29, 1872",Cause of Death: Gunfire,Gunfire,1872-06-29,1872,FALSE,Baxter Springs Police Department, KS
Patrolman John J. Donohue,"Brooklyn Police Department, NY","EOW: Sunday, July 7, 1872",Cause of Death: Assault,Assault,1872-07-07,1872,FALSE,Brooklyn Police Department, NY
Township Constable Charles F. Lehman,"Anaheim Police Department, CA","EOW: Tuesday, July 23, 1872",Cause of Death: Gunfire,Gunfire,1872-07-23,1872,FALSE,Anaheim Police Department, CA
Patrolman Patrick O'Meara,"Chicago Police Department, IL","EOW: Monday, August 5, 1872",Cause of Death: Gunfire,Gunfire,1872-08-05,1872,FALSE,Chicago Police Department, IL
Police Officer John Christopher,"Baltimore City Police Department, MD","EOW: Sunday, August 18, 1872",Cause of Death: Gunfire,Gunfire,1872-08-18,1872,FALSE,Baltimore City Police Department, MD
Policeman Lewis Lare,"Philadelphia Police Department, PA","EOW: Wednesday, August 21, 1872",Cause of Death: Gunfire,Gunfire,1872-08-21,1872,FALSE,Philadelphia Police Department, PA
Deputy Sheriff William N. Wright,"Caddo Parish Sheriff's Office, LA","EOW: Sunday, October 6, 1872",Cause of Death: Gunfire,Gunfire,1872-10-06,1872,FALSE,Caddo Parish Sheriff's Office, LA
"Deputy U.S. Marshal Henry Franklin ""Frank"" Griffin","United States Department of Justice - United States Marshals Service, US","EOW: Sunday, October 6, 1872",Cause of Death: Gunfire,Gunfire,1872-10-06,1872,FALSE,United States Department of Justice - United States Marshals Service, US
Policeman Daniel McGonigle,"Philadelphia Police Department, PA","EOW: Wednesday, October 9, 1872",Cause of Death: Gunfire,Gunfire,1872-10-09,1872,FALSE,Philadelphia Police Department, PA
Police Officer Franklin Fullum,"Baltimore City Police Department, MD","EOW: Friday, November 22, 1872",Cause of Death: Duty related illness,Duty related illness,1872-11-22,1872,FALSE,Baltimore City Police Department, MD
Sheriff Daniel Jackson Brownell,"Holmes County Sheriff's Office, FL","EOW: Tuesday, November 26, 1872",Cause of Death: Gunfire,Gunfire,1872-11-26,1872,FALSE,Holmes County Sheriff's Office, FL
Police Officer James T. Harvey,"Baltimore City Police Department, MD","EOW: Sunday, January 12, 1873",Cause of Death: Duty related illness,Duty related illness,1873-01-12,1873,FALSE,Baltimore City Police Department, MD
Deputy Constable John Stark,"Grayson County Constable's Office - Precinct 6, TX","EOW: Thursday, February 20, 1873",Cause of Death: Gunfire,Gunfire,1873-02-20,1873,FALSE,Grayson County Constable's Office - Precinct 6, TX
Patrolman James Harris Rosser,"Shreveport Police Department, LA","EOW: Wednesday, February 26, 1873",Cause of Death: Duty related illness,Duty related illness,1873-02-26,1873,FALSE,Shreveport Police Department, LA
Private James M. Daniels,"Texas State Police, TX","EOW: Friday, March 14, 1873",Cause of Death: Gunfire,Gunfire,1873-03-14,1873,FALSE,Texas State Police, TX
Private Wesley Cherry,"Texas State Police, TX","EOW: Friday, March 14, 1873",Cause of Death: Gunfire,Gunfire,1873-03-14,1873,FALSE,Texas State Police, TX
Captain Thomas G. Williams,"Texas State Police, TX","EOW: Friday, March 14, 1873",Cause of Death: Gunfire,Gunfire,1873-03-14,1873,FALSE,Texas State Police, TX
Police Officer John Ferguson,"Galveston Police Department, TX","EOW: Sunday, April 6, 1873",Cause of Death: Stabbed,Stabbed,1873-04-06,1873,FALSE,Galveston Police Department, TX
Private Andrew Melville,"Texas State Police, TX","EOW: Thursday, April 10, 1873",Cause of Death: Gunfire,Gunfire,1873-04-10,1873,FALSE,Texas State Police, TX
Deputy Sheriff William Hubbard,"Aroostook County Sheriff's Department, ME","EOW: Monday, April 28, 1873",Cause of Death: Assault,Assault,1873-04-28,1873,FALSE,Aroostook County Sheriff's Department, ME
Deputy Sheriff Granville A. Hayden,"Aroostook County Sheriff's Department, ME","EOW: Monday, April 28, 1873",Cause of Death: Assault,Assault,1873-04-28,1873,FALSE,Aroostook County Sheriff's Department, ME
Deputy U.S. Marshal John C. Stephenson,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, July 11, 1873",Cause of Death: Stabbed,Stabbed,1873-07-11,1873,FALSE,United States Department of Justice - United States Marshals Service, US
"Deputy Sheriff Burwell J. ""Burt"" Blankenship","McLennan County Sheriff's Department, TX","EOW: Thursday, July 24, 1873",Cause of Death: Gunfire,Gunfire,1873-07-24,1873,FALSE,McLennan County Sheriff's Department, TX
Deputy U.S. Marshal R. T. Dunn,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, August 8, 1873",Cause of Death: Gunfire,Gunfire,1873-08-08,1873,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Christian Jacobs,"Chicago Police Department, IL","EOW: Monday, August 18, 1873",Cause of Death: Gunfire,Gunfire,1873-08-18,1873,FALSE,Chicago Police Department, IL
Sheriff Chauncey Belden Whitney,"Ellsworth County Sheriff's Department, KS","EOW: Monday, August 18, 1873",Cause of Death: Gunfire,Gunfire,1873-08-18,1873,FALSE,Ellsworth County Sheriff's Department, KS
Sheriff George Washington Law,"Callaway County Sheriff's Department, MO","EOW: Saturday, August 23, 1873",Cause of Death: Gunfire,Gunfire,1873-08-23,1873,FALSE,Callaway County Sheriff's Department, MO
Deputy Sheriff W. W. Dundon,"Callaway County Sheriff's Department, MO","EOW: Wednesday, September 3, 1873",Cause of Death: Gunfire,Gunfire,1873-09-03,1873,FALSE,Callaway County Sheriff's Department, MO
Deputy U.S. Marshal Andy Frigate,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, September 5, 1873",Cause of Death: Gunfire,Gunfire,1873-09-05,1873,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Ora M. Nason,"Bent County Sheriff's Office, CO","EOW: Saturday, September 20, 1873",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1873-09-20,1873,FALSE,Bent County Sheriff's Office, CO
Police Officer Albert H. Bowen,"Provo Police Department, UT","EOW: Thursday, October 16, 1873",Cause of Death: Gunfire,Gunfire,1873-10-16,1873,FALSE,Provo Police Department, UT
Deputy U.S. Marshal John P. Fries,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, October 25, 1873",Cause of Death: Gunfire,Gunfire,1873-10-25,1873,FALSE,United States Department of Justice - United States Marshals Service, US
Sheriff Simmons D. Alsobrook,"Lauderdale County Sheriff's Office, TN","EOW: Saturday, November 1, 1873",Cause of Death: Gunfire,Gunfire,1873-11-01,1873,FALSE,Lauderdale County Sheriff's Office, TN
Special Deputy Marshal Perry DuVal,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 2, 1873",Cause of Death: Gunfire,Gunfire,1873-11-02,1873,FALSE,United States Department of Justice - United States Marshals Service, US
Constable William Stewart Mettler,"Kern County Sheriff's Department, CA","EOW: Thursday, November 6, 1873",Cause of Death: Gunfire,Gunfire,1873-11-06,1873,FALSE,Kern County Sheriff's Department, CA
Town Marshal Enoch Cooksey,"McMinnville Police Department, TN","EOW: Saturday, November 15, 1873",Cause of Death: Gunfire,Gunfire,1873-11-15,1873,FALSE,McMinnville Police Department, TN
Deputy Sheriff Henry C. Banks,"Hays County Sheriff's Department, TX","EOW: Sunday, November 16, 1873",Cause of Death: Gunfire,Gunfire,1873-11-16,1873,FALSE,Hays County Sheriff's Department, TX
Patrolman Edward L. Burns,"New York Municipal Police Department, NY","EOW: Tuesday, December 2, 1873",Cause of Death: Assault,Assault,1873-12-02,1873,FALSE,New York Municipal Police Department, NY
Police Officer John Shannon Day,"Denison Police Department, TX","EOW: Thursday, February 5, 1874",Cause of Death: Gunfire,Gunfire,1874-02-05,1874,FALSE,Denison Police Department, TX
Deputy Sheriff Edwin P. Daniels,"St. Clair County Sheriff's Department, MO","EOW: Tuesday, March 17, 1874",Cause of Death: Gunfire,Gunfire,1874-03-17,1874,FALSE,St. Clair County Sheriff's Department, MO
Undersheriff John J. Ellis,"Elko County Sheriff's Office, NV","EOW: Saturday, March 21, 1874",Cause of Death: Exposure,Exposure,1874-03-21,1874,FALSE,Elko County Sheriff's Office, NV
Policeman J. Peter Mooney,"Rome Police Department, GA","EOW: Saturday, April 18, 1874",Cause of Death: Assault,Assault,1874-04-18,1874,FALSE,Rome Police Department, GA
Keeper Charles Ernst,"Greene County Sheriff's Office, NY","EOW: Monday, May 4, 1874",Cause of Death: Assault,Assault,1874-05-04,1874,FALSE,Greene County Sheriff's Office, NY
Custody Officer George Chamberlain,"Indiana Department of Correction, IN","EOW: Monday, May 11, 1874",Cause of Death: Gunfire,Gunfire,1874-05-11,1874,FALSE,Indiana Department of Correction, IN
Deputy Sheriff Charles Webb,"Brown County Sheriff's Department, TX","EOW: Tuesday, May 26, 1874",Cause of Death: Gunfire,Gunfire,1874-05-26,1874,FALSE,Brown County Sheriff's Department, TX
Deputy Sheriff Jabez C. Pierson,"Bosque County Sheriff's Office, TX","EOW: Tuesday, June 9, 1874",Cause of Death: Gunfire,Gunfire,1874-06-09,1874,FALSE,Bosque County Sheriff's Office, TX
Officer Charles F. Schoppe,"Portland Police Bureau, OR","EOW: Saturday, June 13, 1874",Cause of Death: Gunfire,Gunfire,1874-06-13,1874,FALSE,Portland Police Bureau, OR
Officer James P. Farmer,"Bryan Police Department, TX","EOW: Wednesday, June 17, 1874",Cause of Death: Gunfire,Gunfire,1874-06-17,1874,FALSE,Bryan Police Department, TX
Constable O. A. Wilson,"Osage Township Police Department, MO","EOW: Saturday, June 27, 1874",Cause of Death: Gunfire,Gunfire,1874-06-27,1874,FALSE,Osage Township Police Department, MO
Deputy U.S. Marshal James P. Everette,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, July 10, 1874",Cause of Death: Gunfire,Gunfire,1874-07-10,1874,FALSE,United States Department of Justice - United States Marshals Service, US
Private David W. H. Bailey,"Texas Rangers, TX","EOW: Sunday, July 12, 1874",Cause of Death: Assault,Assault,1874-07-12,1874,FALSE,Texas Rangers, TX
"Private William A. ""Billy"" Glass","Texas Rangers, TX","EOW: Sunday, July 12, 1874",Cause of Death: Gunfire,Gunfire,1874-07-12,1874,FALSE,Texas Rangers, TX
Special Deputy Marshal William Spivey,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, August 6, 1874",Cause of Death: Gunfire,Gunfire,1874-08-06,1874,FALSE,United States Department of Justice - United States Marshals Service, US
Officer John G. Duff,"Versailles Police Department, MO","EOW: Monday, August 10, 1874",Cause of Death: Gunfire,Gunfire,1874-08-10,1874,FALSE,Versailles Police Department, MO
"Deputy Sheriff Richard ""Dick"" Roach","Hillsborough County Sheriff's Office, FL","EOW: Saturday, August 22, 1874",Cause of Death: Gunfire,Gunfire,1874-08-22,1874,FALSE,Hillsborough County Sheriff's Office, FL
Patrolman John A. Weimar,"Pittsburgh Police Department, PA","EOW: Monday, August 24, 1874",Cause of Death: Gunfire,Gunfire,1874-08-24,1874,FALSE,Pittsburgh Police Department, PA
Substitute Patrolman Abraham Bird,"Cincinnati Police Department, OH","EOW: Wednesday, September 2, 1874",Cause of Death: Gunfire,Gunfire,1874-09-02,1874,FALSE,Cincinnati Police Department, OH
Chief of Police Philip Schuyler Smith,"Hackettstown Police Department, NJ","EOW: Wednesday, September 16, 1874",Cause of Death: Assault,Assault,1874-09-16,1874,FALSE,Hackettstown Police Department, NJ
Private W. H. Cliff,"Texas Rangers, TX","EOW: Wednesday, September 23, 1874",Cause of Death: Drowned,Drowned,1874-09-23,1874,FALSE,Texas Rangers, TX
Special Officer William Hogsett,"Oswego Police Department, KS","EOW: Saturday, October 3, 1874",Cause of Death: Stabbed,Stabbed,1874-10-03,1874,FALSE,Oswego Police Department, KS
Deputy Sheriff Robert F. Hagood,"Hunt County Sheriff's Office, TX","EOW: Wednesday, October 14, 1874",Cause of Death: Gunfire,Gunfire,1874-10-14,1874,FALSE,Hunt County Sheriff's Office, TX
Patrolman Thomas Evers,"New York Municipal Police Department, NY","EOW: Sunday, November 8, 1874",Cause of Death: Accidental,Accidental,1874-11-08,1874,FALSE,New York Municipal Police Department, NY
Police Officer Charles G. Bratton,"Burlingame Police Department, KS","EOW: Friday, November 27, 1874",Cause of Death: Stabbed,Stabbed,1874-11-27,1874,FALSE,Burlingame Police Department, KS
Deputy Sheriff John Morgan,"Bosque County Sheriff's Office, TX","EOW: Wednesday, December 2, 1874",Cause of Death: Gunfire,Gunfire,1874-12-02,1874,FALSE,Bosque County Sheriff's Office, TX
Deputy Sheriff Parker Morgan,"Bosque County Sheriff's Office, TX","EOW: Wednesday, December 2, 1874",Cause of Death: Gunfire,Gunfire,1874-12-02,1874,FALSE,Bosque County Sheriff's Office, TX
Special Police Officer Mathew Hamilton,"Winona Police Department, MN","EOW: Thursday, December 3, 1874",Cause of Death: Heart attack,Heart attack,1874-12-03,1874,FALSE,Winona Police Department, MN
"Officer William  ""Will"" Albright","Paris Police Department, TX","EOW: Friday, December 4, 1874",Cause of Death: Gunfire,Gunfire,1874-12-04,1874,FALSE,Paris Police Department, TX
Deputy Sheriff James Robert Godley,"Anderson County Sheriff's Department, TX","EOW: Sunday, December 13, 1874",Cause of Death: Gunfire,Gunfire,1874-12-13,1874,FALSE,Anderson County Sheriff's Department, TX
Chief of Police Matthew W. Murphy,"Columbus Police Department, GA","EOW: Saturday, December 26, 1874",Cause of Death: Gunfire,Gunfire,1874-12-26,1874,FALSE,Columbus Police Department, GA
Deputy Jimmy Carr,"Scott County Sheriff's Office, MO","EOW: Friday, January 15, 1875",Cause of Death: Gunfire,Gunfire,1875-01-15,1875,FALSE,Scott County Sheriff's Office, MO
Deputy Marshal George Carney,"Bedford Police Department, IN","EOW: Wednesday, January 20, 1875",Cause of Death: Gunfire,Gunfire,1875-01-20,1875,FALSE,Bedford Police Department, IN
Deputy Collector Jerome E. Goodner,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Tuesday, January 26, 1875",Cause of Death: Gunfire,Gunfire,1875-01-26,1875,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Jailer Zack Hall,"Robertson County Sheriff's Department, TX","EOW: Wednesday, January 27, 1875",Cause of Death: Gunfire,Gunfire,1875-01-27,1875,FALSE,Robertson County Sheriff's Department, TX
Officer Cornelius L. Fahey,"Austin Police Department, TX","EOW: Monday, March 8, 1875",Cause of Death: Gunfire,Gunfire,1875-03-08,1875,FALSE,Austin Police Department, TX
Deputy Keeper Bartholomew B. Purdy,"New York City Department of Correction, NY","EOW: Monday, March 29, 1875",Cause of Death: Heart attack,Heart attack,1875-03-29,1875,FALSE,New York City Department of Correction, NY
Constable T. C. Craig,"Houston County Constable's Office - Precinct 3, TX","EOW: Tuesday, April 27, 1875",Cause of Death: Gunfire,Gunfire,1875-04-27,1875,FALSE,Houston County Constable's Office - Precinct 3, TX
Patrolman Edward Riebsamen,"Wilkes-Barre Police Department, PA","EOW: Thursday, April 29, 1875",Cause of Death: Gunfire,Gunfire,1875-04-29,1875,FALSE,Wilkes-Barre Police Department, PA
Patrolman Robert T. Frazier,"Nashville City Police Department, TN","EOW: Friday, April 30, 1875",Cause of Death: Gunfire,Gunfire,1875-04-30,1875,FALSE,Nashville City Police Department, TN
Police Officer Charles Patman,"Denison Police Department, TX","EOW: Sunday, May 2, 1875",Cause of Death: Gunfire,Gunfire,1875-05-02,1875,FALSE,Denison Police Department, TX
Captain Josiah D. Baxter,"Plymouth Police Department, MA","EOW: Monday, May 3, 1875",Cause of Death: Gunfire,Gunfire,1875-05-03,1875,FALSE,Plymouth Police Department, MA
Deputy Sheriff Robert Ned Clendennen,"Limestone County Sheriff's Department, TX","EOW: Friday, May 21, 1875",Cause of Death: Gunfire,Gunfire,1875-05-21,1875,FALSE,Limestone County Sheriff's Department, TX
Deputy Collector J. Holman Leatherwood,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Saturday, May 22, 1875",Cause of Death: Gunfire,Gunfire,1875-05-22,1875,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Sheriff Alexander Ramsey,"Ellis County Sheriff's Office, KS","EOW: Monday, June 7, 1875",Cause of Death: Gunfire,Gunfire,1875-06-07,1875,FALSE,Ellis County Sheriff's Office, KS
Private L. B. Smith,"Texas Rangers, TX","EOW: Saturday, June 12, 1875",Cause of Death: Gunfire,Gunfire,1875-06-12,1875,FALSE,Texas Rangers, TX
Patrolman John L. Hart,"Shreveport Police Department, LA","EOW: Sunday, June 13, 1875",Cause of Death: Gunfire,Gunfire,1875-06-13,1875,FALSE,Shreveport Police Department, LA
Patrolman Jacob Reupp,"Trenton Police Department, NJ","EOW: Monday, June 14, 1875",Cause of Death: Gunfire,Gunfire,1875-06-14,1875,FALSE,Trenton Police Department, NJ
Patrolman John Michael Kick,"Cleveland Police Department, OH","EOW: Tuesday, June 15, 1875",Cause of Death: Gunfire,Gunfire,1875-06-15,1875,FALSE,Cleveland Police Department, OH
Officer Albert M. Logan,"Ottumwa Police Department, IA","EOW: Monday, June 28, 1875",Cause of Death: Gunfire,Gunfire,1875-06-28,1875,FALSE,Ottumwa Police Department, IA
Patrolman Benjamin K. Yost,"Tamaqua Borough Police Department, PA","EOW: Tuesday, July 6, 1875",Cause of Death: Gunfire,Gunfire,1875-07-06,1875,FALSE,Tamaqua Borough Police Department, PA
Deputy Collector Elisha Graham Johnson,"United States Department of the Treasury - Office of Internal Revenue, US","EOW: Wednesday, July 21, 1875",Cause of Death: Gunfire,Gunfire,1875-07-21,1875,FALSE,United States Department of the Treasury - Office of Internal Revenue, US
Undersheriff Zach Allen,"Rio Grande County Sheriff's Office, CO","EOW: Monday, August 9, 1875",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1875-08-09,1875,FALSE,Rio Grande County Sheriff's Office, CO
Patrolman John Cummings,"St. Louis Metropolitan Police Department, MO","EOW: Friday, September 10, 1875",Cause of Death: Assault,Assault,1875-09-10,1875,FALSE,St. Louis Metropolitan Police Department, MO
Sheriff Joseph H. Baker,"Portage County Sheriff's Department, WI","EOW: Tuesday, October 12, 1875",Cause of Death: Gunfire,Gunfire,1875-10-12,1875,FALSE,Portage County Sheriff's Department, WI
Patrol Officer George M. Crowell,"Lynn Police Department, MA","EOW: Wednesday, December 22, 1875",Cause of Death: Assault,Assault,1875-12-22,1875,FALSE,Lynn Police Department, MA
City Marshal Thomas H. Chandler,"Lebanon Police Department, KY","EOW: Monday, December 27, 1875",Cause of Death: Gunfire,Gunfire,1875-12-27,1875,FALSE,Lebanon Police Department, KY
Town Constable Charles Kast,"Las Animas Police Department, CO","EOW: Tuesday, February 8, 1876",Cause of Death: Gunfire,Gunfire,1876-02-08,1876,FALSE,Las Animas Police Department, CO
Sheriff Richard Kirk,"Young County Sheriff's Office, TX","EOW: Monday, February 21, 1876",Cause of Death: Gunfire,Gunfire,1876-02-21,1876,FALSE,Young County Sheriff's Office, TX
Patrolman Anthony Kemper,"Cincinnati Police Department, OH","EOW: Wednesday, February 23, 1876",Cause of Death: Assault,Assault,1876-02-23,1876,FALSE,Cincinnati Police Department, OH
Posse Member Judge Edward Lampley,"Dewitt County Sheriff's Office, TX","EOW: Monday, February 28, 1876",Cause of Death: Gunfire,Gunfire,1876-02-28,1876,FALSE,Dewitt County Sheriff's Office, TX
"Deputy Sheriff Moses L. ""Moak"" Wright","McLennan County Sheriff's Department, TX","EOW: Friday, March 3, 1876",Cause of Death: Gunfire,Gunfire,1876-03-03,1876,FALSE,McLennan County Sheriff's Department, TX
Warden Matthew B. Burgher,"Utah Department of Corrections, UT","EOW: Thursday, March 16, 1876",Cause of Death: Assault,Assault,1876-03-16,1876,FALSE,Utah Department of Corrections, UT
Substitute Patrolman Edward Gallagher,"Cincinnati Police Department, OH","EOW: Saturday, March 25, 1876",Cause of Death: Gunfire,Gunfire,1876-03-25,1876,FALSE,Cincinnati Police Department, OH
"Deputy Sheriff Abner B. Womack, Jr.","Montgomery County Sheriff's Office, TX","EOW: Friday, April 7, 1876",Cause of Death: Gunfire,Gunfire,1876-04-07,1876,FALSE,Montgomery County Sheriff's Office, TX
"Officer William H. ""Billy"" Dallas","Quincy Police Department, IL","EOW: Tuesday, May 30, 1876",Cause of Death: Gunfire,Gunfire,1876-05-30,1876,FALSE,Quincy Police Department, IL
